EWS ID,ProjectNumber,Published,Bank Risk Rating,Project Status,EWS URL,Detailed Analysis URL,Project Name,City,Country Count,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Private Actor Count,Private Actor 1,Private Actor 2,Private Actor 3,Private Actor 4,Private Actor 5,Private Actor 6,Private Actor 7,Private Actor 8,Private Actor 9,Private Actor 10,Private Actor 11,Private Actor 12,Private Actor 13,Private Actor 14,Private Actor 15,Bank Count,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Sector Count,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Last Edited,Date Scraped,Date Disclosed,Board Date,Source URL,Project Cost,Investment Amount,Partners Contacted,Partners Responded,Communities Informed,Community Response,People Trained,Information Requested,Analysis URL,Lead Person Count,Lead Person 1,Lead Person 2,Lead Person 3,Lead Person 4,Lead Person 5,Lead Person 6,Lead Person 7
28182,ADB-48325-001,Published,B,Approved,https://ews.rightsindevelopment.org/projects/48325-001-150-megawatt-burgos-wind-farm-project/,,150-Megawatt Burgos Wind Farm Project,Burgos municipality,1,Philippines,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Energy,,,,,,,11/29/17,7/6/17,10/16/14,1/26/15,https://www.adb.org/projects/48325-001/main,,,No,No,No,No,0,No,,2,Jocelyn Medallo,Tom Weerachat,,,,,
28181,ADB-48205-001,Published,U,Approved,https://ews.rightsindevelopment.org/projects/48205-001-solid-waste-management-solutions-for-remote-and-sm/,,Solid Waste Management Solutions for Remote and Small Communities,,1,Armenia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Water and Sanitation,,,,,,,1/2/18,7/6/17,6/22/17,1/28/15,https://www.adb.org/projects/48205-001/main,,0.55,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28180,ADB-48294-001,Published,U,Approved,https://ews.rightsindevelopment.org/projects/48294-001-tax-revenue-administration-modernization-and-polic/,,Tax Revenue Administration Modernization and Policy Improvement in Local Governments,,1,Indonesia,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Law and Government,,,,,,,10/13/17,7/6/17,3/30/17,2/12/15,https://www.adb.org/projects/48294-001/main,,5,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28179,ADB-48353-001,Published,U,Active,https://ews.rightsindevelopment.org/projects/48353-001-enabling-monetization-of-infrastructure-assets-in/,,Enabling Monetization of Infrastructure Assets in India,,1,India,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,2,Finance,Technical Cooperation,,,,,,11/3/17,7/6/17,3/2/17,2/13/15,https://www.adb.org/projects/48353-001/main,,0.23,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28177,ADB-48307-001,Published,A,Approved,https://ews.rightsindevelopment.org/projects/48307-001-engro-fast-track-liquefied-natural-gas-regasificat/,,Engro Fast-Track Liquefied Natural Gas Regasification Project,,1,Pakistan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Energy,,,,,,,3/14/18,7/6/17,9/4/14,2/24/15,https://www.adb.org/projects/48307-001/main,,30,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28175,ADB-42203-023,Published,U,Canceled,https://ews.rightsindevelopment.org/projects/42203-023-northern-rural-infrastructure-development-sector-p/,,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,,1,Laos,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,4,Agriculture and Forestry,Finance,Infrastructure,Transport,,,,8/18/17,7/6/17,3/30/17,3/19/15,https://www.adb.org/projects/42203-023/main,,0.22,No,No,No,No,0,No,,1,Tom Weerachat,,,,,,
28171,ADB-43166-216,Published,U,Active,https://ews.rightsindevelopment.org/projects/43166-216-advanced-project-preparedness-for-poverty-reductio/,,Advanced Project Preparedness for Poverty Reduction - Capacity Development of Institutions in the Ur,Rajasthan,1,India,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Law and Government,Technical Cooperation,Water and Sanitation,,,,,11/6/17,7/6/17,4/16/15,4/9/15,https://www.adb.org/projects/43166-216/main,,0.23,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28169,ADB-47929-001,Published,A,Approved,https://ews.rightsindevelopment.org/projects/47929-001-gulpur-hydropower-project/,,Gulpur Hydropower Project,Poonch River,1,Pakistan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,3,Construction,Energy,Hydropower,,,,,2/22/18,7/6/17,9/17/14,4/17/15,https://www.adb.org/projects/47929-001/main,365.1,65,No,No,No,No,0,No,,1,Preksha Kumar,,,,,,
28167,ADB-49137-001,Published,FI,Approved,https://ews.rightsindevelopment.org/projects/49137-001-improve-financial-service-outreach-for-agriculture/,,Improve Financial Service Outreach for Agriculture - Finca Azerbaijan,,1,Azerbaijan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Finance,,,,,,,12/28/17,7/6/17,5/13/15,4/22/15,https://www.adb.org/projects/49137-001/main,,25,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
28168,ADB-49093-001,Published,FI,Approved,https://ews.rightsindevelopment.org/projects/49093-001-aze-improving-financial-service-outreach-for-agri/,,AZE: Improving Financial Service Outreach for Agriculture - AccessBank Azerbaijan,,1,Azerbaijan,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,Asian Development Bank (ADB),,,,,1,Finance,,,,,,,1/2/18,7/6/17,5/13/15,4/22/15,https://www.adb.org/projects/49093-001/main,,75,No,No,No,No,0,No,,1,Ishita Petkar,,,,,,
